Rk,Player,From,To,Draft,Tm,Lg,Ht,Wt,BMI,G,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Y/A,Y/G,W,L,T,Yrs,PB,AP1,AV
489,Alex Van Pelt,1995,2003,8,BUF,NFL,73,220,29,31,11,262,477,54.93,2985,16,24,64.1,6.26,96.3,3,8,0,9,0,0,7
490,Bradlee Van Pelt,2005,2005,7,DEN,NFL,74,220,28.2,3,0,2,8,25,7,0,0,39.6,0.88,2.3,0,0,0,1,0,0,0
491,Jeff Van Raaphorst,1987,1987,,ATL,NFL,73,210,27.7,2,1,18,34,52.94,174,1,2,52.8,5.12,87,0,1,0,1,0,0,0
492,Mark Vlasic,1987,1991,4,TOT,NFL,75,205,25.6,15,4,75,142,52.82,762,4,5,63.2,5.37,50.8,2,2,0,4,0,0,3
493,Billy Volek,2001,2011,,TOT,NFL,74,214,27.5,39,10,337,561,60.07,3754,27,15,84.9,6.69,96.3,3,7,0,9,0,0,12
494,Jay Walker,1996,1997,7,MIN,NFL,75,229,28.6,1,0,2,2,100,31,0,0,118.7,15.5,31,0,0,0,2,0,0,0
495,Seneca Wallace,2005,2013,4,TOT,NFL,71,196,27.3,64,22,468,788,59.39,4947,31,19,80.8,6.28,77.3,6,16,0,8,0,0,16
496,Steve Walsh,1989,1999,1,TOT,NFL,75,207,25.9,80,38,713,1317,54.14,7875,40,50,66.4,5.98,98.4,20,18,0,10,0,0,22
497,Andrew Walter,2006,2008,3,RAI,NFL,78,230,26.6,15,9,174,333,52.25,1919,3,16,52.6,5.76,127.9,2,7,0,3,0,0,1
498,Dave Walter,1987,1987,11,CIN,NFL,75,230,28.7,3,2,10,21,47.62,113,0,0,64.2,5.38,37.7,1,1,0,1,0,0,1
499,Andre Ware,1990,1993,1,DET,NFL,74,205,26.3,14,6,83,161,51.55,1112,5,8,63.5,6.91,79.4,3,3,0,4,0,0,5
500,Deshaun Watson,2017,2018,1,HTX,NFL,74,220,28.2,7,6,126,204,61.76,1699,19,8,103,8.33,242.7,3,3,0,2,0,0,7
501,Joe Webb,2010,2018,6,TOT,NFL,76,230,28,86,4,90,159,56.6,888,3,6,63.1,5.58,10.3,1,1,0,9,0,0,4
502,Brandon Weeden,2012,2018,1,TOT,NFL,75,230,28.7,34,25,559,965,57.93,6462,31,30,76,6.7,190.1,6,19,0,5,0,0,15
503,Chris Weinke,2001,2007,4,TOT,NFL,76,232,28.2,29,20,386,709,54.44,3904,15,26,62.2,5.51,134.6,2,18,0,5,0,0,9
504,Casey Weldon,1993,1999,4,TOT,NFL,73,206,27.2,26,0,60,120,50,713,1,4,57.4,5.94,27.4,0,0,0,5,0,0,1
